date,equity,cash,positions,ret
2025-12-29,10000000.0,10000000.0,0,0.0
2025-12-30,10000000.0,10000000.0,0,0.0
2025-12-31,10000000.0,10000000.0,0,0.0
2026-01-05,10046889.6499804,6000073.649980401,2,0.004688964998039946
2026-01-06,10200705.6499804,6000073.649980401,2,0.015309812823543822
2026-01-07,10178386.999818401,8156726.999818401,1,-0.0021879515915687042
2026-01-08,10191394.999818401,8156726.999818401,1,0.001278002103892506
2026-01-09,10188750.541818801,10188750.541818801,0,-0.00025947949222326905
2026-01-12,10188750.541818801,10188750.541818801,0,0.0
2026-01-13,10188750.541818801,10188750.541818801,0,0.0
2026-01-14,10188750.541818801,10188750.541818801,0,0.0
2026-01-15,10188750.541818801,10188750.541818801,0,0.0
2026-01-16,10188750.541818801,10188750.541818801,0,0.0
2026-01-19,10188750.541818801,10188750.541818801,0,0.0
2026-01-20,10188750.541818801,10188750.541818801,0,0.0
2026-01-21,10188750.541818801,10188750.541818801,0,0.0
2026-01-22,10188750.541818801,10188750.541818801,0,0.0
2026-01-23,10188750.541818801,10188750.541818801,0,0.0
2026-01-26,10188750.541818801,10188750.541818801,0,0.0
2026-01-27,10188750.541818801,10188750.541818801,0,0.0
2026-01-28,10188750.541818801,10188750.541818801,0,0.0
2026-01-29,10188750.541818801,10188750.541818801,0,0.0
2026-01-30,10188750.541818801,10188750.541818801,0,0.0
2026-02-02,10188750.541818801,10188750.541818801,0,0.0
2026-02-03,10188750.541818801,10188750.541818801,0,0.0
2026-02-04,10188750.541818801,10188750.541818801,0,0.0
2026-02-05,10188750.541818801,10188750.541818801,0,0.0
2026-02-06,10188750.541818801,10188750.541818801,0,0.0
2026-02-09,10188750.541818801,10188750.541818801,0,0.0
2026-02-10,10188750.541818801,10188750.541818801,0,0.0
2026-02-11,10188750.541818801,10188750.541818801,0,0.0
2026-02-12,10188750.541818801,10188750.541818801,0,0.0
2026-02-13,10188750.541818801,10188750.541818801,0,0.0
2026-02-24,10188750.541818801,10188750.541818801,0,0.0
2026-02-25,10188750.541818801,10188750.541818801,0,0.0
2026-02-26,10188750.541818801,10188750.541818801,0,0.0
2026-02-27,10188750.541818801,10188750.541818801,0,0.0
2026-03-02,10188750.541818801,10188750.541818801,0,0.0
2026-03-03,10188750.541818801,10188750.541818801,0,0.0
2026-03-04,10188750.541818801,10188750.541818801,0,0.0
2026-03-05,10188750.541818801,10188750.541818801,0,0.0
2026-03-06,10188750.541818801,10188750.541818801,0,0.0
2026-03-09,10188750.541818801,10188750.541818801,0,0.0
2026-03-10,10188750.541818801,10188750.541818801,0,0.0
2026-03-11,10188750.541818801,10188750.541818801,0,0.0
2026-03-12,10188750.541818801,10188750.541818801,0,0.0
2026-03-13,10188750.541818801,10188750.541818801,0,0.0
2026-03-16,10188750.541818801,10188750.541818801,0,0.0
2026-03-17,10188750.541818801,10188750.541818801,0,0.0
2026-03-18,10188750.541818801,10188750.541818801,0,0.0
2026-03-19,10188750.541818801,10188750.541818801,0,0.0
2026-03-20,10188750.541818801,10188750.541818801,0,0.0
2026-03-23,10113910.828005102,6113078.8280051015,2,-0.007345327918916733
2026-03-24,10193350.828005102,6113078.8280051015,2,0.007854528416449291
2026-03-25,10205986.828005102,6113078.8280051015,2,0.0012396316199854152
2026-03-26,10226598.828005102,6113078.8280051015,2,0.0020195989224129907
2026-03-27,10221252.486061102,10221252.486061102,0,-0.0005227878822584575
2026-03-30,10221252.486061102,10221252.486061102,0,0.0
2026-03-31,10221252.486061102,10221252.486061102,0,0.0
2026-04-01,10221252.486061102,10221252.486061102,0,0.0
2026-04-02,10221252.486061102,10221252.486061102,0,0.0
2026-04-03,10221252.486061102,10221252.486061102,0,0.0
