symbol,name,amount,turnover_rate
600900,600900,1000000000.0,1.0
600519,600519,1000000000.0,1.0
600036,600036,1000000000.0,1.0
300059,300059,1000000000.0,1.0
601318,601318,1000000000.0,1.0
601012,601012,1000000000.0,1.0
002594,002594,1000000000.0,1.0
300750,300750,1000000000.0,1.0
601166,601166,1000000000.0,1.0
600276,600276,1000000000.0,1.0
600030,600030,1000000000.0,1.0
000858,000858,1000000000.0,1.0
601398,601398,1000000000.0,1.0
601288,601288,1000000000.0,1.0
601988,601988,1000000000.0,1.0
601857,601857,1000000000.0,1.0
600809,600809,1000000000.0,1.0
002714,002714,1000000000.0,1.0
002475,002475,1000000000.0,1.0
603259,603259,1000000000.0,1.0
300308,300308,1000000000.0,1.0
300033,300033,1000000000.0,1.0
002230,002230,1000000000.0,1.0
601668,601668,1000000000.0,1.0
600887,600887,1000000000.0,1.0
600309,600309,1000000000.0,1.0
688111,688111,1000000000.0,1.0
688981,688981,1000000000.0,1.0
002371,002371,1000000000.0,1.0
300274,300274,1000000000.0,1.0
