
> quant-paper-trading-nodejs@0.2.0 start
> node src/index.js

[HTTP] server listening on http://localhost:3088
[APP] Eastmoney DOM market scanner started
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=43 total=88
[EMAPI] page=3 rows=100 kept=42 total=130
[EMAPI] page=4 rows=100 kept=42 total=170
[EMAPI] page=5 rows=100 kept=47 total=217
[EMAPI] page=6 rows=100 kept=39 total=256
[EMAPI] page=7 rows=100 kept=45 total=301
[EMAPI] page=8 rows=100 kept=46 total=347
[EMAPI] page=9 rows=100 kept=46 total=393
[EMAPI] page=10 rows=100 kept=57 total=449
[EMAPI] page=11 rows=100 kept=56 total=502
[EMAPI] page=12 rows=100 kept=46 total=548
[EMAPI] page=13 rows=100 kept=51 total=599
[EMAPI] page=14 rows=100 kept=46 total=645
[EMAPI] page=15 rows=100 kept=45 total=686
[EMAPI] page=16 rows=100 kept=46 total=730
[EMAPI] page=17 rows=100 kept=49 total=779
[EMAPI] page=18 rows=100 kept=44 total=821
[EMAPI] page=19 rows=100 kept=37 total=857
[EMAPI] page=20 rows=100 kept=38 total=894
[EMAPI] page=21 rows=100 kept=43 total=936
[EMAPI] page=22 rows=100 kept=44 total=976
[EMAPI] page=23 rows=100 kept=44 total=1020
[EMAPI] page=24 rows=100 kept=35 total=1054
[EMAPI] page=25 rows=100 kept=33 total=1084
[SCAN] round=1 market=1084 picks=4 ts=2026-03-23T05:56:52.451Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=40 total=84
[EMAPI] page=3 rows=100 kept=44 total=128
[EMAPI] page=4 rows=100 kept=43 total=170
[EMAPI] page=5 rows=100 kept=44 total=214
[EMAPI] page=6 rows=100 kept=43 total=255
[EMAPI] page=7 rows=100 kept=43 total=297
[EMAPI] page=8 rows=100 kept=49 total=345
[EMAPI] page=9 rows=100 kept=46 total=391
[EMAPI] page=10 rows=100 kept=50 total=438
[EMAPI] page=11 rows=100 kept=47 total=484
[EMAPI] page=12 rows=100 kept=49 total=531
[EMAPI] page=13 rows=100 kept=51 total=575
[EMAPI] page=14 rows=100 kept=43 total=618
[EMAPI] page=15 rows=100 kept=48 total=666
[EMAPI] page=16 rows=100 kept=52 total=715
[EMAPI] page=17 rows=100 kept=55 total=766
[EMAPI] page=18 rows=100 kept=43 total=805
[EMAPI] page=19 rows=100 kept=50 total=851
[EMAPI] page=20 rows=100 kept=42 total=893
[EMAPI] page=21 rows=100 kept=42 total=931
[EMAPI] page=22 rows=100 kept=37 total=965
[EMAPI] page=23 rows=100 kept=37 total=1001
[EMAPI] page=24 rows=100 kept=30 total=1028
[EMAPI] page=25 rows=100 kept=37 total=1061
[SCAN] round=2 market=1061 picks=5 ts=2026-03-23T05:58:03.164Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=42 total=86
[EMAPI] page=3 rows=100 kept=45 total=131
[EMAPI] page=4 rows=100 kept=40 total=171
[EMAPI] page=5 rows=100 kept=39 total=210
[EMAPI] page=6 rows=100 kept=48 total=258
[EMAPI] page=7 rows=100 kept=42 total=299
[EMAPI] page=8 rows=100 kept=45 total=344
[EMAPI] page=9 rows=100 kept=45 total=388
[EMAPI] page=10 rows=100 kept=49 total=436
[EMAPI] page=11 rows=100 kept=48 total=483
[EMAPI] page=12 rows=100 kept=57 total=538
[EMAPI] page=13 rows=100 kept=49 total=585
[EMAPI] page=14 rows=100 kept=53 total=635
[EMAPI] page=15 rows=100 kept=45 total=672
[EMAPI] page=16 rows=100 kept=40 total=711
[EMAPI] page=17 rows=100 kept=46 total=756
[EMAPI] page=18 rows=100 kept=48 total=803
[EMAPI] page=19 rows=100 kept=41 total=840
[EMAPI] page=20 rows=100 kept=47 total=885
[EMAPI] page=21 rows=100 kept=48 total=933
[EMAPI] page=22 rows=100 kept=43 total=976
[EMAPI] page=23 rows=100 kept=30 total=1005
[EMAPI] page=24 rows=100 kept=29 total=1031
[EMAPI] page=25 rows=100 kept=44 total=1075
[SCAN] round=3 market=1075 picks=5 ts=2026-03-23T05:59:01.611Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=39 total=83
[EMAPI] page=3 rows=100 kept=43 total=126
[EMAPI] page=4 rows=100 kept=40 total=166
[EMAPI] page=5 rows=100 kept=40 total=206
[EMAPI] page=6 rows=100 kept=46 total=252
[EMAPI] page=7 rows=100 kept=41 total=292
[EMAPI] page=8 rows=100 kept=47 total=339
[EMAPI] page=9 rows=100 kept=48 total=384
[EMAPI] page=10 rows=100 kept=48 total=429
[EMAPI] page=11 rows=100 kept=46 total=472
[EMAPI] page=12 rows=100 kept=40 total=510
[EMAPI] page=13 rows=100 kept=51 total=561
[EMAPI] page=14 rows=100 kept=55 total=613
[EMAPI] page=15 rows=100 kept=44 total=656
[EMAPI] page=16 rows=100 kept=50 total=704
[EMAPI] page=17 rows=100 kept=47 total=748
[EMAPI] page=18 rows=100 kept=33 total=780
[EMAPI] page=19 rows=100 kept=49 total=824
[EMAPI] page=20 rows=100 kept=46 total=867
[EMAPI] page=21 rows=100 kept=45 total=908
[EMAPI] page=22 rows=100 kept=46 total=949
[EMAPI] page=23 rows=100 kept=34 total=978
[EMAPI] page=24 rows=100 kept=38 total=1015
[EMAPI] page=25 rows=100 kept=30 total=1044
[SCAN] round=4 market=1044 picks=5 ts=2026-03-23T06:00:03.031Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=41 total=85
[EMAPI] page=3 rows=100 kept=44 total=129
[EMAPI] page=4 rows=100 kept=39 total=168
[EMAPI] page=5 rows=100 kept=41 total=209
[EMAPI] page=6 rows=100 kept=44 total=252
[EMAPI] page=7 rows=100 kept=42 total=293
[EMAPI] page=8 rows=100 kept=45 total=338
[EMAPI] page=9 rows=100 kept=46 total=384
[EMAPI] page=10 rows=100 kept=48 total=430
[EMAPI] page=11 rows=100 kept=54 total=482
[EMAPI] page=12 rows=100 kept=45 total=525
[EMAPI] page=13 rows=100 kept=52 total=577
[EMAPI] page=14 rows=100 kept=46 total=620
[EMAPI] page=15 rows=100 kept=45 total=663
[EMAPI] page=16 rows=100 kept=44 total=704
[EMAPI] page=17 rows=100 kept=50 total=754
[EMAPI] page=18 rows=100 kept=42 total=792
[EMAPI] page=19 rows=100 kept=45 total=837
[EMAPI] page=20 rows=100 kept=46 total=882
[EMAPI] page=21 rows=100 kept=47 total=928
[EMAPI] page=22 rows=100 kept=44 total=970
[EMAPI] page=23 rows=100 kept=38 total=1008
[EMAPI] page=24 rows=100 kept=39 total=1043
[EMAPI] page=25 rows=100 kept=27 total=1067
[SCAN] round=5 market=1067 picks=5 ts=2026-03-23T06:01:01.668Z
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=39 total=84
[EMAPI] page=3 rows=100 kept=43 total=127
[EMAPI] page=4 rows=100 kept=39 total=166
[EMAPI] page=5 rows=100 kept=48 total=214
[EMAPI] page=6 rows=100 kept=39 total=253
[EMAPI] page=7 rows=100 kept=40 total=293
[EMAPI] page=8 rows=100 kept=50 total=343
[EMAPI] page=9 rows=100 kept=42 total=383
[EMAPI] page=10 rows=100 kept=50 total=432
[EMAPI] page=11 rows=100 kept=54 total=480
[EMAPI] page=12 rows=100 kept=52 total=528
[EMAPI] page=13 rows=100 kept=46 total=568
[EMAPI] page=14 rows=100 kept=44 total=611
[EMAPI] page=15 rows=100 kept=51 total=661
[EMAPI] page=16 rows=100 kept=44 total=703
[EMAPI] page=17 rows=100 kept=46 total=747
[EMAPI] page=18 rows=100 kept=42 total=786
[EMAPI] page=19 rows=100 kept=42 total=828
[EMAPI] page=20 rows=100 kept=47 total=873
[EMAPI] page=21 rows=100 kept=51 total=921
[EMAPI] page=22 rows=100 kept=44 total=963
[EMAPI] page=23 rows=100 kept=29 total=989
[EMAPI] page=24 rows=100 kept=38 total=1026
[EMAPI] page=25 rows=100 kept=36 total=1061
[SCAN] round=6 market=1061 picks=5 ts=2026-03-23T06:02:01.752Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=40 total=84
[EMAPI] page=3 rows=100 kept=47 total=131
[EMAPI] page=4 rows=100 kept=38 total=168
[EMAPI] page=5 rows=100 kept=45 total=213
[EMAPI] page=6 rows=100 kept=40 total=253
[EMAPI] page=7 rows=100 kept=42 total=295
[EMAPI] page=8 rows=100 kept=49 total=344
[EMAPI] page=9 rows=100 kept=45 total=387
[EMAPI] page=10 rows=100 kept=52 total=438
[EMAPI] page=11 rows=100 kept=51 total=487
[EMAPI] page=12 rows=100 kept=43 total=526
[EMAPI] page=13 rows=100 kept=48 total=573
[EMAPI] page=14 rows=100 kept=47 total=618
[EMAPI] page=15 rows=100 kept=38 total=656
[EMAPI] page=16 rows=100 kept=45 total=699
[EMAPI] page=17 rows=100 kept=52 total=750
[EMAPI] page=18 rows=100 kept=49 total=798
[EMAPI] page=19 rows=100 kept=44 total=840
[EMAPI] page=20 rows=100 kept=48 total=887
[EMAPI] page=21 rows=100 kept=45 total=931
[EMAPI] page=22 rows=100 kept=43 total=974
[EMAPI] page=23 rows=100 kept=37 total=1009
[EMAPI] page=24 rows=100 kept=42 total=1049
[EMAPI] page=25 rows=100 kept=32 total=1080
[SCAN] round=7 market=1080 picks=5 ts=2026-03-23T06:03:01.927Z
[EMAPI] page=1 rows=100 kept=43 total=43
[EMAPI] page=2 rows=100 kept=42 total=85
[EMAPI] page=3 rows=100 kept=45 total=130
[EMAPI] page=4 rows=100 kept=37 total=167
[EMAPI] page=5 rows=100 kept=46 total=213
[EMAPI] page=6 rows=100 kept=42 total=254
[EMAPI] page=7 rows=100 kept=36 total=288
[EMAPI] page=8 rows=100 kept=49 total=337
[EMAPI] page=9 rows=100 kept=46 total=382
[EMAPI] page=10 rows=100 kept=50 total=431
[EMAPI] page=11 rows=100 kept=46 total=477
[EMAPI] page=12 rows=100 kept=49 total=526
[EMAPI] page=13 rows=100 kept=45 total=569
[EMAPI] page=14 rows=100 kept=54 total=621
[EMAPI] page=15 rows=100 kept=39 total=657
[EMAPI] page=16 rows=100 kept=41 total=696
[EMAPI] page=17 rows=100 kept=53 total=749
[EMAPI] page=18 rows=100 kept=48 total=797
[EMAPI] page=19 rows=100 kept=44 total=841
[EMAPI] page=20 rows=100 kept=47 total=881
[EMAPI] page=21 rows=100 kept=46 total=924
[EMAPI] page=22 rows=100 kept=41 total=962
[EMAPI] page=23 rows=100 kept=44 total=1003
[EMAPI] page=24 rows=100 kept=29 total=1030
[EMAPI] page=25 rows=100 kept=32 total=1060
[SCAN] round=8 market=1060 picks=3 ts=2026-03-23T06:04:01.780Z
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=43 total=88
[EMAPI] page=3 rows=100 kept=47 total=133
[EMAPI] page=4 rows=100 kept=38 total=170
[EMAPI] page=5 rows=100 kept=43 total=213
[EMAPI] page=6 rows=100 kept=44 total=256
[EMAPI] page=7 rows=100 kept=38 total=293
[EMAPI] page=8 rows=100 kept=44 total=337
[EMAPI] page=9 rows=100 kept=53 total=390
[EMAPI] page=10 rows=100 kept=46 total=436
[EMAPI] page=11 rows=100 kept=49 total=483
[EMAPI] page=12 rows=100 kept=50 total=529
[EMAPI] page=13 rows=100 kept=47 total=575
[EMAPI] page=14 rows=100 kept=46 total=621
[EMAPI] page=15 rows=100 kept=48 total=669
[EMAPI] page=16 rows=100 kept=39 total=707
[EMAPI] page=17 rows=100 kept=46 total=751
